City,Country,Date,Cloudiness,Humidity,Latitude,Longitude,Temperature,Wind Speed
Aden,YE,1571423555,59,57,12.79,45.03,86.11,6.62
Iquique,CL,1571423557,40,55,-20.22,-70.14,66.2,16.11
Sarahan,IN,1571423559,0,64,31.51,77.79,46.56,4.56
Teguldet,RU,1571423561,95,81,57.31,88.17,26.6,2.71
San Juan,AR,1571423563,8,37,-31.54,-68.53,56.37,6.98
Aksarka,RU,1571423564,80,64,66.56,67.8,21.97,3.98
Mnogovershinnyy,RU,1571423566,0,85,53.94,139.92,32.61,7.09
Zverinogolovskoye,RU,1571423568,100,95,54.46,64.85,34.43,13.15
Adrar,DZ,1571423570,0,14,27.87,-0.29,89.6,16.11
Pershotravneve,UA,1571423571,70,76,51.38,28.88,55.69,6.6
Cruzeiro do Sul,BR,1571423573,40,66,-7.63,-72.67,87.8,4.7
Saint-Joseph,FR,1571423575,90,93,43.56,6.97,64.4,4.41
Guangyuan,CN,1571423577,87,90,32.43,105.86,55.79,2.53
Sahuaripa,MX,1571423579,36,67,29.05,-109.23,75.05,7.38
Sibolga,ID,1571423580,99,78,1.74,98.78,80.94,6.6
Hof,DE,1571423582,75,87,50.32,11.92,55,8.05
Loksa,EE,1571423584,90,100,59.58,25.72,54,5.82
Acapulco,MX,1571423586,75,70,16.86,-99.88,86,9.17
Pachino,IT,1571423587,0,82,36.72,15.09,68,2.24
Meghraj,IN,1571423589,17,51,23.5,73.5,77.66,5.66
Ningbo,CN,1571423591,0,87,29.88,121.54,57.2,6.71
Opuwo,NA,1571423593,31,36,-18.06,13.84,83.98,12.46
Ovalle,CL,1571423594,0,39,-30.6,-71.2,70.07,8.93
Ust-Koksa,RU,1571423596,100,89,50.27,85.62,17.09,13.6
Pangkalanbuun,ID,1571423598,99,97,-2.68,111.62,75.09,1.28
Kenai,US,1571423600,90,93,60.55,-151.26,37.99,5.82
Mahebourg,MU,1571423602,75,60,-20.41,57.7,72,11.41
Ca Mau,VN,1571423603,100,95,9.18,105.15,77,5.77
Aswan,EG,1571423605,0,17,24.09,32.9,93.2,10.29
Manggar,ID,1571423607,46,87,-2.88,108.27,76.76,1.92
Grants,US,1571423609,75,29,35.15,-107.85,60.8,18.34
Verkhnevilyuysk,RU,1571423611,100,96,63.45,120.31,32.86,3
Tamandare,BR,1571423612,75,48,-8.28,-70.75,87.8,6.49
Xam Nua,LA,1571423614,57,99,20.42,104.04,61.63,2.21
Kholmogory,RU,1571423616,75,80,64.23,41.65,33.8,11.18
Rio Grande,BR,1571423618,75,65,-32.03,-52.1,80.6,12.75
Talara,PE,1571423620,0,290,-4.58,-81.27,62.6,17.22
Zanjan,IR,1571423621,42,31,36.67,48.48,57.56,1.61
Tezu,IN,1571423623,0,67,27.93,96.16,67.53,3.98
Puri,ID,1571423625,53,87,-7.54,112.45,71.99,5.39
Pacific Grove,US,1571423627,1,48,36.62,-121.92,68,3.36
Araouane,ML,1571423628,0,20,18.9,-3.53,94.84,6.8
Bom Jardim,BR,1571423630,75,88,-7.8,-35.59,77,12.75
Lavrentiya,RU,1571423632,100,96,65.58,-170.99,23.09,3.2
Manavgat,TR,1571423634,0,78,36.79,31.44,71.6,5.82
Keti Bandar,PK,1571423636,0,73,24.14,67.45,83.26,9.8
Arlit,NE,1571423637,0,15,18.74,7.39,97.45,3.42
Perth,AU,1571423639,0,62,-31.95,115.86,59,18.34
Guozhen,CN,1571423641,0,58,29.3,113.14,61,1.72
Caravelas,BR,1571423643,58,62,-17.73,-39.27,79.73,12.55
Cuiluan,CN,1571423645,100,71,47.72,128.65,37.96,0.81
Nuuk,GL,1571423647,90,93,64.17,-51.74,39.2,26.4
Vetapalem,IN,1571423648,96,93,15.78,80.32,75.7,5.28
Balikpapan,ID,1571423650,54,98,-1.24,116.86,72.16,1.01
Sept-Iles,CA,1571423652,90,76,50.2,-66.38,50,8.05
Bilibino,RU,1571423654,100,96,68.06,166.44,10.58,2.8
Yulara,AU,1571423655,95,33,-25.24,130.99,73.4,8.05
Narsaq,GL,1571423657,40,85,60.91,-46.05,41,4.7
Diego de Almagro,CL,1571423659,66,47,-26.39,-70.05,64.22,10.45
Salalah,OM,1571423661,20,78,17.01,54.1,82.4,4.7
Port Augusta,AU,1571423663,40,81,-32.49,137.76,53.01,3.36
Berlevag,NO,1571423665,75,73,70.86,29.09,39.2,18.34
Asmara,ER,1571423666,31,54,15.34,38.93,76.94,7.16
Mumford,GH,1571423668,83,92,5.26,-0.76,76.24,4.16
Grenfell,AU,1571423670,65,45,-33.9,148.16,42.96,1.59
Namatanai,PG,1571423672,100,82,-3.66,152.44,78.71,10.94
Swan Hill,AU,1571423673,0,94,-35.34,143.56,42.62,5.86
Chapais,CA,1571423676,90,80,49.78,-74.86,39.2,14.99
Lincoln,GB,1571423677,75,87,53.23,-0.54,52,13.87
Omboue,GA,1571423679,100,86,-1.57,9.26,77.92,12.15
Gonen,IL,1571423681,84,76,33.12,35.65,75.99,5.59
Kizner,RU,1571423682,100,92,56.27,51.51,35.38,11.14
Oussouye,SN,1571423684,20,67,12.49,-16.54,93.2,6.93
Mochalishche,RU,1571423686,90,100,56.33,48.35,37.4,8.95
Meaford,CA,1571423688,20,65,44.61,-80.59,46.99,10.29
Axim,GH,1571423689,94,86,4.87,-2.24,79.23,10.22
Paracuru,BR,1571423691,20,58,-3.41,-39.03,86,16.11
Pechenga,RU,1571423693,100,91,58.89,41.46,35.67,6.31
Robertsport,LR,1571423695,19,80,6.75,-11.37,80.56,9.19
Ostersund,SE,1571423696,90,93,63.18,14.64,41,3.36
Pisco,PE,1571423698,0,30,-13.71,-76.2,71.6,11.41
Morros,BR,1571423700,20,58,-2.87,-44.04,87.8,18.34
Tarut,SA,1571423702,0,54,26.57,50.06,87.8,4.34
Nishihara,JP,1571423703,90,100,35.74,139.53,62.01,8.05
Sawakin,SD,1571423705,0,74,19.1,37.33,77.41,5.82
Manali,IN,1571423707,2,75,32.25,77.19,23.77,2.44
Altagracia de Orituco,VE,1571423709,89,73,9.86,-66.38,81.03,3.49
Honningsvag,NO,1571423711,75,64,70.98,25.97,37.4,11.41
Thompson,CA,1571423713,90,75,55.74,-97.86,44.6,4.7
Kavieng,PG,1571423715,100,89,-2.57,150.8,77.57,9.33
Providencia,CO,1571423716,40,72,1.24,-77.6,68,4.7
Ossora,RU,1571423718,58,82,59.24,163.07,20.03,4.85
Carutapera,BR,1571423720,72,62,-1.2,-46.02,85.67,11.14
Zwedru,LR,1571423722,74,92,6.07,-8.13,75.5,6.22
Umm Lajj,SA,1571423723,100,73,25.02,37.27,86.38,9.69
Mackay,CA,1571423725,75,60,53.65,-115.58,50,6.93
Pakokku,MM,1571423727,4,75,21.33,95.09,77.84,2.89
Cururupu,BR,1571423729,99,48,-1.82,-44.87,90.5,8.37
Dandong,CN,1571423731,19,75,40.12,124.37,53.56,3.09
Waingapu,ID,1571423733,83,93,-9.65,120.26,70.07,4.92
Champawat,IN,1571423734,0,88,29.34,80.09,55.25,2.1
Dagana,MR,1571423736,40,23,16.52,-15.51,107.6,2.24
Okhotsk,RU,1571423738,100,73,59.36,143.24,27.86,9.04
Corrales,CO,1571423740,97,63,5.83,-72.84,60.15,1.41
Alibag,IN,1571423742,75,69,18.64,72.88,87.01,10.56
San Andres,PH,1571423743,75,94,13.32,122.68,75.85,4.27
Matara,BI,1571423745,77,94,-3.48,29.48,52.14,0.51
Mirabad,IR,1571423747,0,20,28.27,61.33,58.49,1.43
San Carlos de Bariloche,AR,1571423749,0,14,-41.13,-71.31,68,6.93
Solnechnyy,RU,1571423750,27,87,50.72,136.64,33.4,0.18
Komsomolskiy,RU,1571423752,21,92,67.55,63.78,18.59,5.06
Muros,ES,1571423754,75,93,42.77,-9.06,64.99,9.17
Borba,BR,1571423756,83,39,-4.39,-59.59,94.62,2.71
Udachnyy,RU,1571423757,90,100,66.42,112.4,24.8,6.71
Jvari,GE,1571423759,79,73,42.72,42.05,46.92,1.61
Toledo,ES,1571423761,20,77,39.86,-4.02,64.99,5.82
Emmett,US,1571423762,75,42,43.87,-116.5,59,16.11
Petropavlovsk-Kamchatskiy,RU,1571423764,0,73,53.05,158.65,26.6,6.71
Marabba,SD,1571423766,0,50,12.35,32.18,87.38,8.19
Nivala,FI,1571423768,97,97,63.93,24.96,37.99,4
Ostrovnoy,RU,1571423769,100,83,68.05,39.51,32.45,23.98
Puerto Cabezas,NI,1571423771,75,74,14.04,-83.39,87.8,4.7
Vung Tau,VN,1571423773,100,80,10.35,107.08,79.66,7.65
Tirthahalli,IN,1571423775,100,95,13.69,75.25,73.96,2.28
Belmonte,PT,1571423777,53,85,40.36,-7.35,60.01,4
Sorong,ID,1571423778,100,88,-0.86,131.25,75.58,1.36
Jacareacanga,BR,1571423780,0,52,-6.22,-57.76,93.2,5.82
Anadyr,RU,1571423782,90,92,64.73,177.51,26.6,2.24
Vereshchagino,RU,1571423784,100,83,58.07,54.67,30,9.4
Najran,SA,1571423785,20,26,17.54,44.22,80.6,6.93
Penzance,GB,1571423787,75,81,50.12,-5.53,54,16.11
Aksu,KZ,1571423789,90,93,52.04,76.93,39.2,11.18
Birjand,IR,1571423791,0,22,32.86,59.22,53.6,6.93
Ucluelet,CA,1571423793,90,87,48.94,-125.55,53.6,5.82
Bonito,BR,1571423794,98,60,-1.36,-47.3,88.09,9.51
Labuhan,ID,1571423796,97,95,-2.54,115.51,73.49,1.45
Kaitangata,NZ,1571423798,100,89,-46.28,169.85,48.99,4
Lewistown,US,1571423800,1,48,40.39,-90.15,66,13.87
Quesnel,CA,1571423801,1,49,52.98,-122.49,46.4,10.29
San Patricio,PY,1571423803,94,84,-26.98,-56.83,70.05,6.06
Erie,US,1571423805,90,57,42.13,-80.09,51.8,8.05
Laguna,BZ,1571423806,40,75,16.17,-88.94,89.6,6.93
Barao de Melgaco,BR,1571423809,40,41,-16.19,-55.97,93.2,6.93
Yeniseysk,RU,1571423810,98,85,58.45,92.17,27.88,3.13
Bourail,NC,1571423812,0,81,-21.57,165.5,61.28,0.74
Riyadh,SA,1571423814,0,26,24.63,46.72,82.4,9.35
Westport,US,1571423816,75,44,41.14,-73.36,61,14.99
Syracuse,US,1571423817,90,81,43.05,-76.15,46.99,5.82
Manzhouli,CN,1571423819,0,44,49.6,117.43,40.78,3.83
Lakhipur,IN,1571423821,0,76,26.03,90.3,76.26,4.05
Weston,US,1571423823,75,47,41.2,-73.38,61,13.87
Koungheul,SN,1571423825,0,36,13.98,-14.8,95.74,5.01
Rio Gallegos,AR,1571423826,90,75,-51.62,-69.22,44.6,12.75
Gangoh,IN,1571423828,0,46,29.78,77.26,72.75,3.91
Yar-Sale,RU,1571423830,0,91,66.83,70.83,23.66,10.71
Pilar,AR,1571423832,0,33,-34.46,-58.91,75.99,14.99
Belyy Yar,RU,1571423833,0,69,53.6,91.39,35.6,13.42
Praia,BR,1571423835,0,17,-20.25,-43.81,95,4.7
Tiko,CM,1571423837,40,88,4.08,9.36,80.6,3.36
Mongo,CD,1571423839,62,79,-5.62,14.6,78.01,4.47
Jiaohe,CN,1571423840,100,72,43.72,127.34,46.7,3.91
Kudahuvadhoo,MV,1571423842,92,78,2.67,72.89,81.5,7.4
Hofn,IS,1571423844,0,59,64.25,-15.21,35.6,17.22
Mwene-Ditu,CD,1571423846,72,93,-7.01,23.45,69.19,2.66
Shenjiamen,CN,1571423847,26,74,29.96,122.3,66.88,15.7
Ilulissat,GL,1571423849,75,69,69.22,-51.1,39.2,19.46
Mitsamiouli,KM,1571423851,40,88,-11.38,43.28,78.8,2.24
Montelibano,CO,1571423853,95,88,7.98,-75.42,79.73,5.88
Ponta Delgada,PT,1571423854,40,78,37.73,-25.67,71.6,8.05
Razvilnoye,RU,1571423856,0,72,46.24,41.3,58.51,5.32
Key West,US,1571423858,40,66,47.93,-96.78,57.99,18.34
Doctor Juan Manuel Frutos,PY,1571423860,94,68,-25.39,-55.83,81.77,5.84
Verkhoyansk,RU,1571423861,100,96,67.55,133.39,19.6,1.41
Tuatapere,NZ,1571423863,100,92,-46.13,167.69,45,1.01
Kruisfontein,ZA,1571423865,83,85,-34,24.73,63.55,2.68
Jasper,US,1571423867,1,45,33.83,-87.28,66,5.48
Tondano,ID,1571423868,20,88,1.3,124.91,77,6.67
Presidencia Roque Saenz Pena,AR,1571423870,100,80,-26.79,-60.44,66.76,5.64
Toora-Khem,RU,1571423872,30,91,52.47,96.11,22.94,1.59
Cam Ranh,VN,1571423874,75,94,11.92,109.15,78.8,5.82
Wageningen,NL,1571423876,60,81,51.98,5.66,54,9.17
Lompoc,US,1571423877,1,33,34.64,-120.46,78.8,10.29
Akropong,GH,1571423879,40,100,5.97,-0.09,73.4,4.7
Pimentel,BR,1571423881,89,44,-3.7,-45.5,93.22,3.78
Ottawa,CA,1571423883,90,65,45.42,-75.69,48,16.11
Naze,NG,1571423885,75,94,5.43,7.07,77,4.45
Codrington,AU,1571423886,0,87,-28.95,153.24,60.01,3.36
Haines Junction,CA,1571423888,100,92,60.75,-137.51,24.04,1.21
Bar Harbor,US,1571423890,90,54,44.39,-68.2,54,10.29
Semnan,IR,1571423892,0,15,35.58,53.39,68,2.28
Mayo,CA,1571423894,90,80,63.59,-135.9,30.2,9.17
Sur,OM,1571423895,31,43,22.57,59.53,79.16,1.59
Plainview,US,1571423897,1,44,34.18,-101.71,82,10.29
Tacoronte,ES,1571423899,40,82,28.48,-16.41,73.4,14.99
Berdigestyakh,RU,1571423901,84,95,62.1,126.7,28.63,4.21
Mbanza-Ngungu,CD,1571423902,62,79,-5.25,14.87,78.01,4.47
Bonthe,SL,1571423904,42,76,7.53,-12.5,81.61,11.05
Orsk,RU,1571423906,0,60,51.23,58.47,42.8,13.42
Denpasar,ID,1571423908,20,88,-8.65,115.22,78.8,3.36
Macklin,CA,1571423910,68,50,52.34,-109.94,47.95,5.44
Biak,ID,1571423911,11,97,-0.91,122.88,61.66,4.07
Wattegama,LK,1571423913,35,96,7.35,80.68,72.95,1.79
Mackenzie,CA,1571423915,90,86,55.34,-123.09,39.2,10.29
Outjo,NA,1571423917,92,12,-20.11,16.16,82.9,7.36
Yarmouth,CA,1571423918,90,71,43.84,-66.12,51.01,10.29
Wukari,NG,1571423920,45,88,7.87,9.78,77.16,6.4
Comodoro Rivadavia,AR,1571423922,0,30,-45.87,-67.48,71.6,13.87
Ciudad Bolivar,VE,1571423924,82,39,8.12,-63.55,93.95,7.54
Buchanan,LR,1571423925,75,83,5.88,-10.05,82.4,12.91
Taganak,PH,1571423927,75,94,6.08,118.3,78.8,6.17
Yamnytsya,UA,1571423929,49,87,48.99,24.71,50,5.23
Tigil,RU,1571423931,100,85,57.8,158.67,28.38,4.63
Shache,CN,1571423932,94,48,38.42,77.24,61,4
Burnie,AU,1571423934,22,87,-41.05,145.91,42.01,1.01
Nanjing,CN,1571423936,0,100,32.06,118.79,61,2.24
San Jeronimo,PE,1571423938,90,93,-13.65,-73.37,42.8,9.17
Chiang Klang,TH,1571423939,35,95,19.29,100.86,66.34,1.92
Adilcevaz,TR,1571423941,75,71,38.8,42.73,53.6,3.13
Soyo,AO,1571423943,40,88,-6.13,12.37,78.8,8.05
Itoman,JP,1571423945,75,83,26.12,127.67,78.8,13.87
Ulladulla,AU,1571423946,82,20,-35.36,150.48,62.6,10.29
Tromso,NO,1571423948,75,86,69.65,18.96,33.8,9.17
Buta,CD,1571423950,33,95,2.79,24.73,72.7,1.03
Harrismith,ZA,1571423952,98,43,-28.27,29.13,63.14,5.37
Karratha,AU,1571423954,0,31,-20.74,116.85,72.66,10.89
Beyneu,KZ,1571423955,0,23,45.32,55.19,59.25,13.44
Grindavik,IS,1571423957,75,62,63.84,-22.43,41,3.36
Sudislavl,RU,1571423959,100,91,57.88,41.71,38.1,5.19
Zhezkazgan,KZ,1571423961,99,42,47.8,67.71,44.69,8.25
Hobyo,SO,1571423962,100,70,5.35,48.53,81.79,0.85
Conde,BR,1571423964,81,52,-11.81,-37.61,83.01,7.96
La Rioja,AR,1571423966,30,44,-29.41,-66.86,64.56,10.85
Manadhoo,MV,1571423968,100,79,5.77,73.38,81.62,13.91
Ribeirao Pires,BR,1571423969,20,40,-23.71,-46.41,89.6,4.7
Nelson Bay,AU,1571423971,17,87,-32.72,152.14,57,17.2
Excelsior Springs,US,1571423973,1,37,39.34,-94.23,71.01,11.41
Kidal,ML,1571423975,0,14,18.44,1.41,93.9,10.29
San Cristobal,HN,1571423977,16,48,14.68,-86.92,87.58,1.48
High Level,CA,1571423979,75,93,58.52,-117.13,37.4,6.93
Kieta,PG,1571423980,100,79,-6.22,155.63,78.83,4.41
Caruray,PH,1571423982,20,83,10.31,119.01,80.6,4.7
Timbiras,BR,1571423984,67,28,-4.26,-43.94,100.02,1.19
Nabire,ID,1571423986,100,99,-3.36,135.5,69.83,1.99
Ust-Tsilma,RU,1571423987,0,66,65.44,52.15,26.13,5.06
Ekhabi,RU,1571423989,0,77,53.51,142.97,42.55,11.43
Kalianget,ID,1571423991,38,71,-7.35,109.91,84,0.87
Kasaragod,IN,1571423993,40,88,12.5,75,77,4.7
San Andres del Rabanedo,ES,1571423995,75,76,42.61,-5.62,54,1.12
Lazaro Cardenas,MX,1571423997,20,44,28.39,-105.62,77,11.41
Wanning,AT,1571423998,75,87,48.64,13.53,57.99,3.36
Snezhnogorsk,RU,1571424000,75,90,69.19,33.23,32,6.71
Ranong,TH,1571424002,75,88,9.96,98.62,78.8,3.36
Noshiro,JP,1571424004,100,81,40.21,140.05,50.25,4.16
Punta Alta,AR,1571424006,90,100,-27.46,-55.82,66.2,4.7
Flinders,AU,1571424007,100,20,-34.58,150.85,64,10.29
Zharkent,KZ,1571424009,0,45,44.17,80,26.38,2.1
Visconde do Rio Branco,BR,1571424011,0,34,-21.01,-42.84,88.5,5.64
Lipari,IT,1571424013,5,60,38.47,14.95,70,2.24
High Prairie,CA,1571424014,88,78,55.43,-116.48,44.47,5.06
Oranjestad,AW,1571424016,75,70,12.52,-70.03,87.8,16.11
Lima,PE,1571424018,90,77,-12.06,-77.04,66.2,9.17
Fethiye,TR,1571424020,0,88,36.62,29.12,68,5.82
Kroonstad,ZA,1571424022,32,23,-27.65,27.24,75,0.85
Oriximina,BR,1571424023,89,48,-1.77,-55.87,93.07,5.59
Hualmay,PE,1571424025,89,86,-11.1,-77.61,62.56,11.16
Sao Gabriel da Cachoeira,BR,1571424027,25,47,-0.13,-67.09,91.42,3.18
Cameta,US,1571424029,1,48,33.01,-90.84,66.2,4.7
Whitianga,NZ,1571424032,75,90,-36.83,175.7,60.01,7
Mayfield,GB,1571424034,75,100,55.87,-3.04,48.2,3.36
Marsa Matruh,EG,1571424035,0,78,31.35,27.25,73.4,10.29
Rio Verde de Mato Grosso,BR,1571424037,28,28,-18.92,-54.84,96.82,5.61
Kerman,IR,1571424039,0,6,30.29,57.06,60.8,6.93
Tottori,JP,1571424041,90,97,35.5,134.23,64.74,4.88
Kautokeino,NO,1571424043,100,73,69.01,23.04,21.07,2.24
Pakenham,AU,1571424044,90,76,-38.08,145.48,52,5.82
